['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', 'c+', '-', '*', 'r+', 'd+', '*', '*'] RDD RDD
['d+', '*', '*', '*', '*', '*', 'd+', 'c+'] RRU RRU
['-', '*', '*', '*', 'd+', '*', 't+', 'c+'] RDD RDD
['t+', '*', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['t+', 't+', '*', 't+', '*', '*', '*', '*'] LDD LDD
['*', 'c+', '*', 'a+', '*', 'p+', '*', '*'] LDD LDD
['c+', 'r+', 'r+', 'r+', '*', 'd+', '*', 'p+'] LDD LDD
['r+', '*', 'p+', '*', 'a+', '*', 't+', '*'] LUU LUU
['*', 'c+', '*', '*', 'c+', 'd+', 'a+', '*'] RRD RRD
['d+', '*', '*', '*', 'a+', '*', '*', 'c+'] LUU LUU
['d+', 'p+', '*', '-', '*', 'a+', 'c+', 'd+'] RUU RUU
['*', 't+', '*', 'r+', 'c+', 'a+', '*', '-'] LDD LDD
['p+', 'd+', 'a+', '*', '*', '*', '*', 'a+'] LLU LLU
['-', '*', 'a+', '-', '*', '*', '-', '*'] LLD LLD
['c+', '*', '*', '*', '-', 't+', '*', 'c+'] RRD RRD
['*', 'c+', 't+', 'p+', '*', 'r+', 't+', 'r+'] RUU RUU
['*', 't+', '*', '*', 'p+', '*', '-', 'a+'] LLU LLU
['*', '*', '*', 'a+', '*', '*', 'a+', 'p+'] RRU RRU
['r+', 'p+', '*', '*', '*', 'a+', 'r+', '*'] RRU RRU
['*', '*', '*', '*', '*', 't+', '*', 'a+'] RRD RRD
['*', 'c+', 'a+', 'd+', 'r+', 'd+', 't+', 'p+'] RDD RDD
['t+', 'd+', 'c+', '*', '*', '*', 'r+', '-'] RRU RRU
['*', '*', 'p+', '*', 'p+', '*', '*', 'c+'] RUU RUU
['c+', '*', 't+', '*', 't+', '-', '*', '*'] RDD RDD
['*', 'r+', 'r+', 't+', 'r+', '*', '*', 'c+'] RDD RDD
['p+', '*', 'a+', 'r+', '-', '*', 't+', '*'] LDD LDD
['c+', '*', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '-', 't+', '*', '*', 't+', 'p+', '-'] RRD RRD
['*', '*', '*', '-', 'd+', '*', '*', '-'] RDD RDD
['d+', 'a+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', '*', '*', '*', '-', '*', 'c+', 't+'] RUU RUU
['*', '-', '-', 'd+', 'r+', 'p+', '*', 't+'] RDD RDD
['a+', 'd+', '*', 'c+', 'r+', '*', '*', '*'] RDD RDD
['p+', 'r+', 'r+', '*', '*', 'p+', 'c+', '*'] LLD LLD
['d+', '*', '*', 'd+', '*', '*', 'r+', 'd+'] RRU RRU
['t+', '*', 'd+', '-', 'd+', '*', 'c+', 'a+'] RDD RDD
['p+', '-', '*', 'c+', 'a+', 'r+', '*', '*'] RRD RRD
['c+', 'd+', '*', '-', 'c+', '-', '*', '*'] LLU LLU
['d+', '*', '*', 'd+', 'd+', '*', '*', '*'] RDD RDD
['*', 't+', 'p+', 'r+', '-', '-', '*', 'r+'] RUU RUU
['t+', '*', '*', '*', 'd+', 'r+', '*', '-'] RRD RRD
['*', '*', '*', '*', '*', '*', 'p+', 't+'] RUU RUU
['-', '*', '*', 'p+', '*', '*', '*', 'p+'] RUU RUU
['-', '-', '*', 'p+', '*', '*', 'r+', '*'] RRU RRU
['*', 'r+', 'd+', '*', 'r+', 'r+', 't+', '*'] RRD RRD
['*', 'r+', '*', 'r+', '*', '-', '*', '*'] LDD LDD
['*', 'p+', 'r+', '*', '*', 'r+', 'a+', '*'] RRD RRD
['*', '*', 't+', '*', '*', '*', 'p+', 'r+'] RUU RUU
['*', '*', 'a+', 'a+', '*', 'd+', 't+', 'c+'] RRD RRD
['*', '*', 'a+', '*', 'p+', '*', 'r+', '*'] RRU RRU
['p+', '*', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['p+', '-', '*', '*', '*', '*', '*', '*'] LUU LUU
['p+', 'p+', '*', 'c+', 'c+', '*', '*', '*'] RDD RDD
['*', 'p+', '*', 'd+', '*', '*', '*', 'p+'] LDD LDD
['*', '*', '*', 'r+', '*', 'a+', '*', 't+'] LDD LDD
['r+', '*', 'p+', 'a+', '*', 'd+', 't+', '*'] LUU LUU
['r+', '*', '*', 'd+', '*', 'a+', 'c+', 'c+'] LUU LUU
['*', '*', 't+', '*', '*', 't+', 'a+', '*'] RRD RRD
['t+', 't+', 'p+', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '*', 'r+', 'r+', 't+', 'p+', 'a+', '*'] LDD LDD
['*', 't+', 'c+', '*', 'a+', 'a+', 'c+', '*'] LLU LLU
['*', 'p+', '*', 'c+', 't+', '*', 'a+', '*'] RDD RDD
['*', 't+', 'd+', 'r+', 'd+', '*', 'a+', '*'] LDD LDD
['d+', '*', '*', 'c+', 'r+', '*', '*', '*'] RDD RDD
['t+', '*', '*', 'a+', 'a+', '*', '*', '*'] LUU LUU
['d+', '*', '*', '*', 'p+', '*', '-', '-'] LUU LUU
['a+', 'r+', '*', 'c+', '*', '*', '-', 't+'] LLU LLU
['*', '-', '-', 'p+', 't+', 'p+', 'p+', 'r+'] RUU RUU
['*', 'c+', 'p+', '*', 'c+', 'p+', 'd+', 'd+'] RUU RUU
['*', '*', 't+', '*', 't+', '*', '*', 'a+'] RDD RDD
['p+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['t+', '-', '*', '*', '*', 't+', '-', 'r+'] RUU RUU
['t+', 'a+', '*', '*', '*', 'c+', '-', 'r+'] RUU RUU
['*', 'p+', '-', 'p+', 'a+', '*', 'd+', '-'] RRU RRU
['*', '-', 'p+', 'p+', '*', '*', 'd+', '*'] RRU RRU
['t+', '*', '*', '*', 't+', '*', 'd+', 'd+'] RUU RUU
['*', '*', 'p+', '*', 't+', '*', 'c+', 't+'] RUU RUU
['*', '*', 't+', '*', '*', '*', 'd+', 'a+'] RRU RRU
['a+', '-', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', '*', '*', '*', '-', 't+', '*', 'a+'] RRD RRD
['-', 'r+', '*', '*', 'c+', '*', '*', '*'] LLU LLU
['*', '*', '*', '*', 't+', 'c+', 'p+', '*'] RDD RDD
['*', '*', 'd+', 'p+', 't+', '*', '*', '*'] LLD LLD
['p+', '*', '*', '*', 'd+', '-', '*', '*'] RDD RDD
['-', '*', '*', '*', 'c+', '*', '*', '*'] RDD RDD
['*', 'r+', '*', '*', '*', '*', '*', 'a+'] LLU LLU
['r+', '*', '-', '*', '*', '*', 'd+', '*'] LUU LUU
['*', '*', 't+', '*', '*', '*', '*', '-'] LLD LLD
['*', 'r+', '*', '*', 'p+', 'a+', 'c+', '*'] LLU LLU
['*', 'd+', '-', '*', 'r+', '*', 'c+', '-'] RDD RDD
['*', 'a+', '*', 'd+', '*', 'r+', '-', '*'] RRD RRD
['*', '-', '*', '*', '*', 't+', 'a+', 'd+'] RUU RUU
['p+', 'p+', 'a+', 'r+', 'a+', 'c+', '*', 'a+'] LDD LDD
['*', '*', '*', 't+', 'r+', '*', '-', 'd+'] RDD RDD
['*', 't+', '*', '*', 'p+', 'a+', '*', 'a+'] LLU LLU
['*', 'r+', '*', '*', 'p+', '-', 'p+', 't+'] LLU LLU
['d+', '*', 'c+', '*', 'a+', 'p+', '*', 'p+'] LUU LUU
['*', '*', '-', '-', '*', 'd+', 't+', 'a+'] RRD RRD
['*', '*', '*', 'a+', 'c+', 't+', '*', '*'] RRD RRD
['p+', '*', 'r+', '-', '-', 't+', 'a+', '-'] LLD LLD
['*', '*', '*', 'p+', 'c+', '*', 'p+', 'r+'] RUU RUU
['*', 'p+', '*', '*', 'r+', 'r+', '*', 'c+'] RRD RRD
['d+', 'c+', 'a+', '*', 'c+', '-', 'a+', '*'] LUU LUU
['p+', 'p+', '*', 'c+', '*', '*', 'a+', '*'] RRU RRU
['*', '*', '*', 'c+', '*', 't+', '*', '*'] RRD RRD
['r+', 'p+', 'r+', 't+', '*', '*', 't+', '*'] LLD LLD
['*', '*', '*', '*', 'c+', '*', '*', '*'] RDD RDD
['p+', 'a+', '-', '*', '*', 'r+', '*', '*'] RRD RRD
['p+', '*', 't+', 'a+', 'a+', '*', 't+', 'p+'] RRU RRU
['*', '-', '*', '*', 'a+', 'r+', '*', '*'] RRD RRD
['-', 'p+', '-', 'd+', 'p+', '*', 't+', 'p+'] LDD LDD
['*', '*', '*', 't+', '*', '*', 'p+', '*'] LDD LDD
['r+', 'c+', 't+', '*', '-', 't+', 'c+', '*'] LUU LUU
['*', '*', 'r+', '*', '*', 'c+', 'a+', '*'] LLD LLD
['t+', 'p+', 'd+', 'a+', '-', '*', '*', '*'] LLD LLD
['r+', '*', 'd+', '-', '-', 'p+', '*', 'a+'] LUU LUU
['a+', '*', '*', '*', '*', 't+', '*', '*'] RRD RRD
['a+', 'c+', 't+', 'c+', '*', '*', 'r+', '*'] RRU RRU
['r+', '*', 't+', 'c+', '*', '*', '*', '*'] LUU LUU
['*', 'c+', '*', 'd+', 'r+', 't+', '*', '*'] RDD RDD
['-', '*', 'c+', 'r+', '*', '*', 'a+', 'c+'] LDD LDD
['*', '*', '*', '*', 'a+', 't+', '*', '*'] RRD RRD
['t+', '*', '*', 'p+', 'a+', '*', '*', '*'] LUU LUU
['d+', 'r+', 'c+', '*', 'p+', '*', 'c+', '*'] LLU LLU
['*', '*', 'p+', 'p+', 'd+', 't+', '*', 'c+'] RDD RDD
['t+', 'p+', 'p+', 'p+', 'a+', '*', '*', 'a+'] LUU LUU
['*', 'p+', '*', '*', 'd+', 't+', 'r+', '*'] RRU RRU
['*', '*', '*', 't+', '*', 'd+', 'c+', '*'] RRD RRD
['*', 'c+', '*', 'p+', 'd+', 'd+', '*', '*'] RRD RRD
['*', '-', '*', 'a+', 'a+', '*', 't+', '*'] RRU RRU
['*', '*', '*', 't+', '*', 't+', '*', '*'] RRD RRD
['*', 'd+', 'r+', '*', '*', '*', 'c+', '*'] LLD LLD
['*', '*', '-', 'p+', '*', 'p+', 'c+', '*'] RRU RRU
['t+', '*', '*', '*', '*', 'p+', 'a+', 'c+'] LUU LUU
['a+', '*', 't+', '-', '*', 'r+', 'p+', '-'] RRD RRD
['*', '*', '*', '*', 'r+', '*', 'd+', '*'] RDD RDD
['*', 't+', 'd+', 'c+', '*', '*', '*', '*'] LLD LLD
['r+', '*', 'a+', '*', 'c+', 'p+', '*', 'd+'] LUU LUU
['*', '*', '-', '*', '*', 'r+', 't+', '*'] RRD RRD
['*', '*', '*', 'r+', 'p+', 't+', 't+', '*'] LDD LDD
['t+', 'd+', '*', '*', 'p+', 'p+', '*', '*'] LLU LLU
['c+', '*', '*', 'a+', 't+', 'd+', '*', '*'] RRD RRD
['c+', 't+', '*', '-', '*', '*', '*', '*'] LLU LLU
['d+', 'p+', 'r+', '*', 'a+', '*', 'p+', 'a+'] LLD LLD
['r+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', '*', '*', '*', '*', '*', 'r+', 'd+'] RRU RRU
['c+', '*', '*', 'd+', '*', '*', 'p+', 'a+'] LDD LDD
['a+', '*', '*', 't+', '*', 't+', '*', '-'] RRD RRD
['*', '*', 't+', 'd+', 'p+', '*', '*', '*'] LDD LDD
['p+', 'p+', '*', 'a+', '*', 'a+', 'd+', '*'] RRU RRU
['c+', 'r+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', 'c+', '*', '*', 'p+', 'd+', 'c+', '*'] RRD RRD
['*', 'c+', 'd+', '*', '*', 'c+', '*', '*'] LLD LLD
['r+', 'p+', '*', '*', '*', '*', '*', '*'] LUU LUU
['*', 'c+', '*', 'c+', '-', 'r+', '*', 'r+'] RUU RUU
['t+', 't+', 'r+', 'p+', 'p+', '*', 'a+', '*'] LLD LLD
['*', '*', 'c+', '*', '*', 't+', 'a+', 't+'] RUU RUU
['d+', 'p+', '*', '-', '*', '-', 't+', '*'] LUU LUU
['p+', 'd+', 't+', '*', '*', 'd+', '*', '*'] RRD RRD
['r+', 'c+', '*', 'd+', '*', '-', 'r+', '*'] RRU RRU
['*', '*', '*', '*', 't+', '*', 'd+', 'd+'] RUU RUU
['r+', 'r+', 'p+', 't+', '*', 't+', '*', 't+'] LLU LLU
['*', '*', 't+', '*', 'c+', '*', 'r+', '*'] RRU RRU
['r+', 'c+', 'r+', 'a+', '*', 'c+', '*', 't+'] LLD LLD
['c+', '*', '*', 'r+', '*', 'a+', 'a+', 'p+'] LDD LDD
['a+', '*', '*', 'p+', 't+', '*', '*', '*'] RDD RDD
['a+', 'r+', '*', '*', 'r+', 'r+', 'a+', '*'] RRD RRD
['a+', 'd+', 'c+', '*', '*', 'a+', '*', '*'] LLU LLU
['*', 't+', '*', 'd+', '*', '*', 'p+', '*'] LDD LDD
['*', 'r+', 'r+', 'c+', 'r+', '-', '*', 't+'] RDD RDD
['*', '*', 'p+', '*', 'p+', 'd+', '*', 'c+'] RRD RRD
['*', '*', '*', '*', '*', 'c+', '-', 'r+'] RUU RUU
['*', '*', '*', '*', 't+', '*', 'a+', '*'] RDD RDD
['a+', '*', '*', '*', 'c+', 'd+', '*', 't+'] RRD RRD
['d+', 'p+', '*', 't+', '*', 'r+', 'a+', '-'] RRD RRD
['c+', '*', 'c+', 'c+', 'c+', '*', '*', '*'] RDD RDD
['d+', '*', '-', '-', '*', 'd+', 'a+', '*'] RRD RRD
['*', '*', '*', '*', '*', '*', 'd+', 'c+'] RRU RRU
['a+', '*', 't+', '*', '*', '*', 'c+', '*'] LLD LLD
['t+', 'r+', '*', '*', '*', '-', '*', 'p+'] LLU LLU
['-', 'c+', '*', '*', 'p+', 'd+', '*', '*'] RRD RRD
['-', '*', '*', '-', 'p+', 'p+', 'p+', 'd+'] RUU RUU
['*', '*', '*', 'a+', 't+', 't+', '*', '*'] RRD RRD
['*', 'a+', 'd+', '*', 'c+', 'a+', '*', 'p+'] LLD LLD
['*', '*', '*', '*', '*', '*', 'r+', 't+'] RRU RRU
['d+', '*', '*', '-', '*', 'a+', '*', '*'] LUU LUU
['*', 'd+', '*', 'p+', '*', 't+', '*', 't+'] LLU LLU
['*', '*', 't+', '*', 'p+', '*', '*', '*'] LLD LLD
['t+', 'p+', '*', 'a+', 'c+', 'd+', '*', 'p+'] RRD RRD
['*', '*', '*', 'r+', '*', '*', 'd+', 'a+'] LDD LDD
['p+', 'r+', 'r+', '*', 'a+', 'c+', '*', '*'] LLD LLD
['t+', 'p+', 'p+', '*', '-', '*', '*', 'c+'] LUU LUU
['*', 'p+', 'a+', '*', '*', 'a+', 'd+', '-'] RRU RRU
['c+', '*', '*', 'r+', '*', '*', '*', 't+'] LDD LDD
['t+', '*', 'd+', 'r+', '*', '*', '-', '-'] LDD LDD
['*', 'p+', '*', 'p+', 'd+', '*', '*', '*'] RDD RDD
['-', '*', 't+', 'r+', '*', '*', 'r+', '-'] RRU RRU
['*', 'd+', '-', 'a+', 'r+', 'a+', '*', '*'] RDD RDD
['t+', '*', '*', 'd+', 'p+', 'a+', '*', 'd+'] RUU RUU
['p+', '*', 'a+', 'a+', '*', 'a+', 't+', '-'] RRU RRU
['*', '*', 'a+', '*', 'a+', 'p+', 'r+', '*'] RRU RRU
['t+', '*', 't+', 'c+', '*', 'c+', '*', 'p+'] LLD LLD
['*', 'c+', '*', 'c+', 'r+', 'd+', 'r+', 'c+'] RRU RRU
['*', 't+', 'c+', '*', '*', 't+', 't+', '*'] RRU RRD
['a+', '*', '*', '*', 'p+', 'c+', '*', 'c+'] LUU LUU
['*', '*', '*', 'c+', '*', 'r+', 't+', '*'] RRD RRD
['t+', '*', '*', '*', '*', 'a+', '*', 'r+'] RUU RUU
['*', '*', 'r+', 't+', '*', '*', 'p+', 't+'] LLD LLD
['t+', 'p+', 'c+', '*', '*', 't+', '-', 'c+'] RRD RRD
['*', '-', 'p+', 'c+', 'c+', '*', '*', '*'] RDD RDD
['a+', 'r+', 'd+', 'd+', '*', '*', '*', 'p+'] LLU LLU
['*', 'a+', '*', 'r+', '-', '*', 'r+', '-'] RRU RRU
['*', '-', 't+', '-', 'r+', '-', '-', 'a+'] RDD RDD
['*', 'c+', '*', 't+', '*', '*', '*', 'c+'] LDD LDD
['p+', '*', '*', 'd+', 'a+', 'r+', '*', 'c+'] RRD RRD
['*', 'c+', '*', 'd+', '*', '-', 'a+', '*'] LDD LDD
['*', '*', 'c+', 'r+', '*', '*', 'r+', '*'] RRU RRU
['r+', '-', 't+', '*', 'r+', 't+', '*', '*'] RDD RDD
['-', '*', 'p+', '*', 'a+', '*', '*', 'a+'] RUU RUU
['*', '-', '*', 't+', '-', '*', 'a+', '*'] LDD LDD
['*', '*', '*', '*', 'd+', 'r+', '*', '-'] RRD RRD
['*', '*', 'r+', '*', '*', '*', '*', 'p+'] LLD LLD
['*', 'd+', 't+', 'c+', 'a+', 'r+', '*', '*'] RRD RRD
['d+', 'c+', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'd+', '*', '*', '*', 'c+', 'p+', '-'] LLU LLU
['c+', 'c+', '-', 'r+', 't+', '*', 't+', '*'] LDD LDD
['a+', '*', 'p+', 'c+', 't+', '*', '*', '*'] RDD RDD
['a+', 't+', '*', 'a+', '*', 'c+', '*', '*'] LLU LLU
['t+', 'a+', '*', '*', '*', 'a+', '*', 'r+'] RUU RUU
['*', '*', 't+', '*', '*', '*', '*', '*'] LLD LLD
['t+', 'a+', 'd+', 'd+', 'p+', 'c+', '*', 'p+'] LDD LDD
['t+', '*', '*', '*', 't+', 'c+', 'c+', '-'] RDD RDD
['*', '*', '*', 'd+', 'd+', 'r+', '*', 'c+'] RRD RRD
['t+', 'p+', '*', 'c+', '-', 'r+', '*', 'c+'] RRD RRD
['t+', '*', '*', '*', '*', '*', 'c+', 'c+'] LUU LUU
['*', 'r+', '-', '*', '*', 'p+', '*', 't+'] LLU LLU
['*', 'p+', '*', 't+', 'p+', 'p+', 't+', '*'] RRU RRU
['t+', '*', '*', '*', 'd+', '*', 'd+', 'r+'] RUU RUU
['*', 'a+', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['t+', '*', '*', '*', 't+', '*', '*', '*'] RDD RDD
['p+', 'a+', '*', '*', '*', '-', 'c+', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', 'r+', '-'] RRU RRU
['d+', 'c+', '*', '*', '*', '*', 'a+', 'a+'] LUU LUU
['*', 'a+', 'c+', '-', 't+', 'c+', '-', '-'] RDD RDD
['t+', '*', '-', 'p+', '*', 't+', 'a+', 'p+'] RRD RRD
['*', '-', 'a+', '*', 'r+', 'p+', '*', 'a+'] RDD RDD
['p+', '*', '*', '*', 'r+', '*', 'a+', 'p+'] RDD RDD
['-', '*', '*', '*', 't+', '*', 'c+', '*'] RDD RDD
['*', '-', 'd+', 'c+', 'c+', '*', '*', 'p+'] LLD LLD
['p+', '*', 'd+', '*', 'r+', '*', '*', 'd+'] RDD RDD
['*', '*', '*', '*', '*', 'd+', 't+', 'p+'] RRD RRD
['*', 'p+', 'd+', 't+', '*', 'a+', '*', 'p+'] LLD LLD
['*', '*', '*', '*', '*', 't+', '-', 'a+'] RRD RRD
['p+', '*', 't+', '*', '*', '-', '*', 'd+'] RUU RUU
['t+', 'c+', '*', 't+', '*', 'r+', 'c+', '-'] RRD RRD
['*', '*', '*', '*', 'r+', '*', 'a+', 't+'] RDD RDD
['*', 'r+', '*', 'a+', '-', 'p+', 'c+', '-'] LLU LLU
['*', 't+', 'p+', '*', 'c+', '*', '*', 't+'] RUU RUU
['-', '*', '*', '*', '-', '*', '*', 'a+'] RUU RUU
['*', '-', 'd+', 't+', '-', 'p+', 'r+', 'c+'] RRU RRU
['p+', 'd+', 'd+', '*', 'a+', 'c+', 'r+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['*', '*', 'c+', 't+', '*', '*', '*', '*'] LDD LDD
['a+', '*', 'r+', '*', '*', 'r+', 'a+', 'c+'] RRD RRD
['-', 't+', '*', 'd+', 'd+', '*', 'd+', 'p+'] RRU RRU
['*', '*', '*', '*', 'c+', '*', '*', '*'] RDD RDD
['*', '*', 't+', '*', '*', 'p+', '*', '-'] LLD LLD
['r+', '*', '*', 'r+', '*', 'r+', 'p+', '*'] RRD RRD
['p+', 'd+', '*', '*', 'd+', 'c+', '*', 'p+'] RDD RDD
['*', '*', 'c+', '*', '*', '*', 't+', '*'] RRU RRU
['-', '*', 't+', '*', '*', '-', '*', '*'] LLD LLD
['-', '*', '*', 't+', 'd+', '*', '*', '*'] RDD RDD
['*', '*', '*', 'd+', 'r+', '*', '*', 'r+'] RUU RUU
['*', 'd+', 'a+', '*', '*', '*', '*', 'c+'] LLU LLU
['t+', '*', 'p+', '*', '*', 'c+', 'c+', 'r+'] RUU RUU
['*', '*', '*', '*', 'r+', 'c+', 'c+', 'd+'] RDD RDD
['*', '*', 'r+', 'c+', 'd+', '*', 'r+', 'a+'] RRU RRU
['t+', 'p+', 'p+', 'p+', '*', '*', '*', '*'] LUU LUU
['*', '*', '*', 'd+', 'r+', '*', 'p+', 't+'] RDD RDD
['d+', '*', 'd+', 'r+', '*', 'd+', 'c+', '*'] LDD LDD
['-', '*', '*', 'a+', 'a+', 'd+', '-', 'd+'] RUU RUU
['t+', '*', '*', '*', 'd+', 'c+', 'p+', '*'] RDD RDD
['*', 'd+', '*', 'c+', '*', '*', '*', '*'] LLU LLU
['t+', 't+', '*', '*', '*', '*', 'p+', '*'] LLU LLU
['a+', 'd+', '*', 'r+', '*', 'r+', 't+', '*'] RRD RRD
['a+', 'p+', 'r+', 'a+', '*', '*', 'p+', '*'] LLD LLD
['*', 't+', '*', '*', 't+', '*', '-', '*'] RDD RDD
['p+', '*', '*', 'p+', '*', 'p+', 'd+', '*'] RRU RRU
['-', 't+', '*', '*', '*', '*', '*', 'p+'] LLU LLU
['p+', '*', 'a+', '*', 'c+', '*', '-', '-'] LLD LLD
['*', 't+', 'p+', '*', '*', '*', 'p+', 'c+'] LLU LLU
['*', '-', 'r+', 'p+', '*', '*', 'r+', 'd+'] RRU RRU
['p+', 'a+', '*', 't+', '*', '*', '-', 'r+'] RUU RUU
['*', '-', '*', '*', '*', 'a+', '*', 'd+'] RUU RUU
['c+', 'd+', '*', 't+', 'd+', '*', 'd+', '*'] RRU RRU
['t+', '*', 'a+', '*', '*', 't+', '*', '*'] RRD RRD
['*', 'c+', '*', '-', '*', '*', '-', '*'] LLU LLU
['*', 't+', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['p+', '*', '*', 'a+', 'a+', '*', '*', '*'] RDD RDD
['*', 'd+', '*', '-', '*', '*', '-', '*'] LLU LLU
['*', 'd+', '*', 'r+', '-', '*', '*', 'd+'] LDD LDD
['*', 'c+', '*', 'r+', '*', '*', 'c+', '*'] LDD LDD
['*', 'r+', '*', 't+', '*', '-', 'p+', 'r+'] RUU RUU
['*', '*', '*', '*', 'a+', '*', '*', 'p+'] RDD RDD
['p+', 'p+', '*', '*', '*', '*', '-', '-'] LLU LLU
['a+', '*', 'a+', 'p+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 't+', 'c+', 'd+', 'd+', '*', 'c+'] RRD RRD
['*', '*', '*', 'r+', '-', '*', 'c+', 't+'] LDD LDD
['t+', '-', '-', '-', '*', 'a+', 'r+', 'd+'] RRU RRU
['d+', 'r+', '*', 'r+', '*', 'r+', '-', 'r+'] RUU RUU
['*', '*', '-', 'r+', '-', 'a+', '*', '*'] LDD LDD
['*', '*', 'c+', 'a+', '*', 'c+', 'd+', '*'] RRU RRU
['d+', 'd+', '*', '*', 'r+', '*', 'c+', '*'] RDD RDD
['t+', 't+', '*', '*', '*', 'r+', 'c+', '*'] RRD RRD
['*', '*', '*', '*', '*', 'd+', 'r+', '*'] RRU RRU
['c+', 'r+', '*', '*', 't+', '*', '*', 'a+'] LLU LLU
['a+', '*', 'p+', 'a+', 't+', 'p+', 'd+', '*'] RRU RRU
['c+', 'd+', '*', '*', 'c+', 't+', '*', '*'] LLU LLU
['*', '*', 'a+', 'a+', '*', '*', '*', '-'] LDD LDD
['*', 'c+', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['a+', '*', '*', '*', 'd+', 'a+', 'd+', '*'] RRU RRU
['d+', '-', '*', '*', '*', '-', 'p+', '*'] LUU LUU
['*', '*', 'c+', '-', '*', '*', '*', 'r+'] RUU RUU
['*', 't+', '*', '*', '*', '*', 'c+', '*'] LLU LLU
['p+', '*', '-', '*', 'd+', '*', '-', '-'] RDD RDD
['*', '*', 'r+', 'a+', '*', '*', 'c+', '*'] LLD LLD
['*', 'c+', '*', '*', 'a+', '*', '*', '*'] RDD RDD
['*', '*', 'r+', 'c+', 't+', '*', 'p+', '*'] LLD LLD
['t+', 'a+', 'r+', '*', '*', '-', 'c+', '*'] LLD LLD
['d+', '*', '*', 'p+', '*', 'r+', 'd+', '*'] RRD RRD
['*', '*', '*', '-', '*', '*', '*', '-'] RUU LDD
['*', 'd+', '*', 'd+', 'p+', 'c+', '*', '*'] LDD LDD
['d+', 'a+', '*', '*', '-', '*', 'd+', 'd+'] RUU RUU
['p+', '*', '-', 'a+', '*', 't+', '*', 'a+'] RRD RRD
['-', 'd+', '*', '*', '*', '-', '*', 'p+'] LLU LLU
['*', '*', '-', 'p+', 'd+', '*', 't+', '*'] RDD RDD
['a+', '*', 'c+', 't+', '*', '*', 'r+', 'p+'] RRU RRU
['-', '*', 'c+', '*', 'p+', '*', '*', '*'] LLD LLD
['p+', 'd+', '*', 'a+', '*', '-', '*', 'c+'] LLU LLU
['*', 'a+', '*', 'p+', '*', '-', '*', '*'] LLU LLU
['-', '-', '-', '*', '*', 'r+', 't+', 'p+'] RRD RRD
['*', 'c+', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', 't+', '-', '-', '*', 't+'] RUU RUU
['*', '*', '*', '*', 'p+', 'd+', '*', '*'] RRD RRD
['-', '*', 'd+', 'c+', '*', '*', 'r+', 't+'] RRU RRU
['*', '*', 't+', '*', 'c+', 'r+', '*', 'd+'] RRD RRD
['r+', '*', '*', '*', '*', '*', '*', 't+'] LUU LUU
['*', '*', '-', '*', '*', '*', 't+', '*'] RRU RRU
['*', 't+', 'c+', '*', '*', '*', '-', 'r+'] RUU RUU
['*', 'c+', 'a+', '-', '*', 'a+', 'p+', 'p+'] RRD RRD
['p+', '*', 'p+', '*', '*', '*', '*', '*'] LLD LLD
['c+', '*', '-', '*', '*', '*', '*', '*'] LUU LUU
['c+', 't+', '*', 't+', 'a+', 'p+', '*', 'd+'] RUU RUU
['*', '*', '*', 'a+', '*', '*', 't+', 'd+'] RUU RUU
['t+', '*', '*', '*', '*', 'r+', 'a+', 't+'] RRD RRD
['*', 'a+', '*', '*', 'd+', 'p+', '*', 'd+'] RUU RUU
['p+', 'c+', '*', 'r+', '*', 'd+', '*', 'c+'] LDD LDD
['a+', 'r+', 'd+', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', 'a+', '-', 'r+', 'a+', 'p+', '-'] RDD RDD
['*', '*', '-', '*', 'd+', 'c+', '*', '*'] RDD RDD
['r+', 'd+', '*', '*', '*', 't+', 'p+', '*'] LUU LUU
['*', 'c+', '*', '*', '*', '*', '*', '*'] LLU LLU
['*', '*', 'p+', '*', '*', 'p+', '*', '*'] RRD RRD
['d+', '*', '*', 'r+', '*', 'p+', 'c+', '*'] LDD LDD
['*', '*', '*', '*', 'a+', '*', 'c+', '*'] RDD RDD
['*', '*', 'r+', '-', '*', '*', 'r+', '*'] RRU RRU
['*', 'p+', 'a+', 'r+', '*', '*', 'd+', 'a+'] LDD LDD
['r+', '*', '*', 'c+', '*', 'p+', '*', '*'] LUU LUU
